EmployeeID,Name,Experience_Years,Education_Level,Age,Gender,Monthly_Salary,Experience_Category,Age_Group,Salary_Per_Experience,Is_Senior,Education_Level_Encoded,Gender_Encoded,Department_Hr,Department_It,Department_Marketing,Department_Operations,City_Chennai,City_Delhi,City_Hyderabad,City_Mumbai,Salary_Bracket_Low,Salary_Bracket_Medium
18,Employee_18,0.39650882882591443,Phd,0.9839138227870239,Female,-1.1315754498233195,Senior,46-55,-0.8605790777855522,True,4,0,0,0,0,1,1,0,0,0,1,0
19,Employee_19,-1.491628451297488,Phd,-0.6792856997177315,Male,-0.7998546195971965,Junior,26-35,0.9735194891386477,False,4,1,1,0,0,0,1,0,0,0,0,1
20,Employee_20,0.018881372801233958,Bachelor,0.8088401888391549,Male,-0.23841831982040707,Senior,46-55,-0.4583825961781809,True,2,1,0,0,1,0,0,0,0,0,0,1
21,Employee_21,-1.1140009952728074,Master,0.5462297379173514,Female,-0.2677392107915206,Junior,46-55,0.5009372890416037,False,3,0,0,0,0,0,0,1,0,0,0,1
22,Employee_22,0.7741362848505949,Master,1.2465242737088273,Female,-0.09775036601448936,Senior,46-55,-0.639105286594942,True,3,0,0,0,0,1,0,1,0,0,0,1
23,Employee_23,1.1517637408752754,High school,-1.5546538694570764,Male,1.2234375300251101,Expert,20-25,-0.4017918797905211,True,0,1,0,0,1,0,0,0,0,0,0,0
24,Employee_24,0.9629500128629351,Master,0.7213033718652204,Male,-0.5273179927290046,Expert,46-55,-0.7869285513835769,True,3,1,1,0,0,0,0,0,0,0,0,1
25,Employee_25,-0.35874608322344653,High school,-0.5042120657698625,Female,1.5117345124718142,Mid-Level,26-35,0.5053493914486071,False,0,0,1,0,0,0,0,0,0,0,0,0
26,Employee_26,0.7741362848505949,Master,-1.3795802355092075,Male,-1.5576173373357585,Senior,20-25,-1.030339516809599,True,3,1,0,1,0,0,0,0,1,0,1,0
27,Employee_27,-0.35874608322344653,Bachelor,-1.116969784587404,Female,1.1261632894755167,Mid-Level,26-35,0.3331320323955044,False,2,0,0,1,0,0,0,1,0,0,0,0
28,Employee_28,1.1517637408752754,Master,-0.941896150639535,Female,1.081534060772311,Expert,26-35,-0.43534700883463096,True,3,0,0,0,0,0,0,0,1,0,0,0
29,Employee_29,0.5853225568382546,High school,0.7213033718652204,Male,-0.4979669672347964,Senior,46-55,-0.7084248646803929,True,0,1,0,0,1,0,0,0,0,0,0,1
30,Employee_30,1.5293911968999558,High school,-0.8543593336656005,Male,0.5199470883800482,Expert,26-35,-0.6428074231960466,True,0,1,0,0,1,0,0,1,0,0,0,1
31,Employee_31,0.9629500128629351,Bachelor,1.2465242737088273,Female,-0.3488010779161818,Expert,46-55,-0.7420773364789499,True,2,0,0,1,0,0,0,0,1,0,0,1
32,Employee_32,0.5853225568382546,Master,0.4586929209434169,Female,-0.013675046580361155,Senior,36-45,-0.5693674951940885,True,3,0,0,0,1,0,0,0,1,0,0,1
33,Employee_33,-0.16993235521110628,Master,-0.32913843182199354,Male,1.3758579478379491,Mid-Level,36-45,0.2724474536517125,False,3,1,0,0,1,0,0,0,0,0,0,0
34,Employee_34,0.9629500128629351,Bachelor,1.1589874567348928,Female,1.5768552168793952,Expert,46-55,-0.2582687046701267,True,2,0,1,0,0,0,0,1,0,0,0,0
35,Employee_35,0.5853225568382546,Master,1.1589874567348928,Male,1.4673764944764607,Senior,46-55,-0.14410512225445254,True,3,1,0,1,0,0,0,0,0,0,0,0
36,Employee_36,-1.680442179309828,Master,0.4586929209434169,Female,0.4958696044274072,Junior,36-45,4.703347731983921,False,3,0,0,0,0,1,0,1,0,0,0,1
37,Employee_37,-0.5475598112357868,High school,-0.591748882743797,Male,-0.024041322524927498,Mid-Level,26-35,-0.04350679346407556,False,0,1,0,1,0,0,1,0,0,0,0,1
38,Employee_38,-0.16993235521110628,Master,-1.4671170524831418,Male,2.0140167434137672,Mid-Level,20-25,0.5289806550116811,False,3,1,0,0,0,1,0,0,0,1,0,0
39,Employee_39,-1.680442179309828,Master,-1.3795802355092075,Male,-1.166200016859095,Junior,20-25,1.3626741896953363,False,3,1,1,0,0,0,0,0,0,1,1,0
40,Employee_40,0.39650882882591443,Bachelor,-0.15406479787412453,Female,-0.41600106441729506,Senior,36-45,-0.6393071826782399,True,2,0,0,0,0,0,0,0,0,1,0,1
41,Employee_41,-0.35874608322344653,Bachelor,-1.4671170524831418,Female,0.7744632704376277,Mid-Level,20-25,0.17604341985085722,False,2,0,0,0,1,0,0,0,0,0,0,0
42,Employee_42,0.2076951008135742,Phd,-1.4671170524831418,Male,-0.6351393163617325,Senior,20-25,-0.6595371702246888,True,4,1,1,0,0,0,1,0,0,0,0,1
43,Employee_43,1.7182049249122961,High school,0.8088401888391549,Female,-0.4147655489704136,Expert,46-55,-0.8624124495265766,True,0,0,0,0,1,0,0,1,0,0,0,1
44,Employee_44,1.3405774688876155,Master,0.37115610396948245,Male,-0.30396090755131344,Expert,36-45,-0.7915502892237377,True,3,1,0,0,0,0,0,0,1,0,0,1
45,Employee_45,-0.35874608322344653,Master,1.1589874567348928,Male,-0.7429305054713656,Mid-Level,46-55,-0.5017082720412828,False,3,1,0,0,0,0,0,1,0,0,0,1
46,Employee_46,-1.3028147232851477,Phd,1.2465242737088273,Female,0.17837226910196824,Junior,46-55,1.3938671345648608,False,4,0,1,0,0,0,0,0,1,0,0,1
47,Employee_47,-1.3028147232851477,Master,-1.5546538694570764,Female,-0.7069800194194248,Junior,20-25,0.5041110954710467,False,3,0,0,0,0,0,0,1,0,0,0,1
48,Employee_48,-1.680442179309828,High school,0.02100883607374445,Male,-1.1625236050415453,Junior,36-45,1.3700635863440391,False,0,1,0,0,0,1,1,0,0,0,1,0
49,Employee_49,-0.9251872672604672,Phd,-1.4671170524831418,Female,-1.623310597682138,Mid-Level,20-25,-0.7036716540336082,False,4,0,0,0,0,0,0,0,1,0,1,0
50,Employee_50,0.018881372801233958,High school,0.6337665548912859,Female,1.1892047117895654,Senior,46-55,0.06333523725296503,True,0,0,0,0,1,0,0,0,0,0,0,0
