EmployeeID,Name,Experience_Years,Education_Level,Age,Gender,Monthly_Salary,Experience_Category,Age_Group,Salary_Per_Experience,Is_Senior,Education_Level_Encoded,Gender_Encoded,Department_Hr,Department_It,Department_Marketing,Department_Operations,City_Chennai,City_Delhi,City_Hyderabad,City_Mumbai,Salary_Bracket_Low,Salary_Bracket_Medium
41,Employee_41,8,Bachelor,23,Female,107989.0,Mid-Level,20-25,11998.777777777777,False,2,0,0,0,1,0,0,0,0,0,0,0
42,Employee_42,11,Phd,23,Male,61212.0,Senior,20-25,5101.0,True,4,1,1,0,0,0,1,0,0,0,0,1
43,Employee_43,19,High school,49,Female,68525.0,Expert,46-55,3426.25,True,0,0,0,0,1,0,0,1,0,0,0,1
44,Employee_44,17,Master,44,Male,72202.0,Expert,36-45,4011.222222222222,True,3,1,0,0,0,0,0,0,1,0,0,1
45,Employee_45,8,Master,53,Male,57635.0,Mid-Level,46-55,6403.888888888889,False,3,1,0,0,0,0,0,1,0,0,0,1
46,Employee_46,3,Phd,54,Female,88208.0,Junior,46-55,22052.0,False,4,0,1,0,0,0,0,0,1,0,0,1
47,Employee_47,3,Master,22,Female,58828.0,Junior,20-25,14707.0,False,3,0,0,0,0,0,0,1,0,0,0,1
48,Employee_48,1,High school,40,Male,43711.0,Junior,36-45,21855.5,False,0,1,0,0,0,1,1,0,0,0,1,0
49,Employee_49,5,Phd,23,Female,28420.0,Mid-Level,20-25,4736.666666666667,False,4,0,0,0,0,0,0,0,1,0,1,0
50,Employee_50,10,High school,47,Female,121752.0,Senior,46-55,11068.363636363636,True,0,0,0,0,1,0,0,0,0,0,0,0
